,individualcount,eventdate_datetime
193,1.0,2021-05-15 00:00:00+00:00
194,44.0,2021-06-07 00:00:00+00:00
195,10.0,2021-05-03 00:00:00+00:00
196,0.0,2021-11-12 00:00:00+00:00
197,3.0,2021-09-22 00:00:00+00:00
198,8.0,2021-08-03 00:00:00+00:00
199,1.0,2021-04-23 00:00:00+00:00
200,0.0,2021-01-03 00:00:00+00:00
201,25.0,2021-01-09 00:00:00+00:00
202,8.0,2021-03-23 00:00:00+00:00
203,16.0,2021-02-03 00:00:00+00:00
204,0.0,2021-03-27 00:00:00+00:00
205,9.0,2021-05-30 00:00:00+00:00
206,24.0,2021-04-27 00:00:00+00:00
207,7.0,2021-04-06 00:00:00+00:00
208,2.0,2021-03-05 00:00:00+00:00
209,117.0,2021-02-01 00:00:00+00:00
210,4.0,2021-05-02 00:00:00+00:00
211,2.0,2021-05-18 00:00:00+00:00
212,5.0,2021-05-05 00:00:00+00:00
213,1.0,2022-06-15 00:00:00+00:00
214,1.0,2021-02-08 00:00:00+00:00
215,50.0,2021-12-26 00:00:00+00:00
216,11.0,2021-09-29 00:00:00+00:00
217,4.0,2021-03-01 00:00:00+00:00
218,64.0,2021-02-09 00:00:00+00:00
219,2.0,2022-12-13 00:00:00+00:00
220,7.0,2021-04-06 00:00:00+00:00
221,9.0,2021-07-07 00:00:00+00:00
222,40.0,2021-10-02 00:00:00+00:00
223,4.0,2022-10-14 00:00:00+00:00
224,60.0,2021-10-22 00:00:00+00:00
225,0.0,2021-05-12 00:00:00+00:00
226,6.0,2021-12-23 00:00:00+00:00
227,12.0,2021-05-10 00:00:00+00:00
228,2.0,2021-05-13 00:00:00+00:00
229,7.0,2021-04-17 00:00:00+00:00
230,3.0,2021-12-06 00:00:00+00:00
231,3.0,2022-09-02 00:00:00+00:00
232,3.0,2021-05-13 00:00:00+00:00
233,8.0,2021-08-19 00:00:00+00:00
234,2.0,2021-05-08 00:00:00+00:00
235,2.0,2021-04-09 00:00:00+00:00
236,2.0,2022-02-10 00:00:00+00:00
237,2.0,2021-05-09 00:00:00+00:00
238,20.0,2021-09-26 00:00:00+00:00
239,21.0,2021-12-07 00:00:00+00:00
240,2.0,2021-05-11 00:00:00+00:00
241,4.0,2021-04-24 00:00:00+00:00
242,2.0,2021-05-15 00:00:00+00:00
243,5.0,2021-05-20 00:00:00+00:00
244,36.0,2021-04-02 00:00:00+00:00
245,1.0,2021-05-04 00:00:00+00:00
246,62.0,2021-12-31 00:00:00+00:00
247,2.0,2021-03-19 00:00:00+00:00
248,11.0,2021-08-04 00:00:00+00:00
249,3.0,2021-10-14 00:00:00+00:00
250,1.0,2021-05-18 00:00:00+00:00
251,1.0,2021-04-27 00:00:00+00:00
252,22.0,2021-06-24 00:00:00+00:00
253,2.0,2021-07-03 00:00:00+00:00
254,2.0,2021-11-01 00:00:00+00:00
255,5.0,2021-08-29 00:00:00+00:00
256,1.0,2021-06-18 00:00:00+00:00
257,1.0,2021-05-01 00:00:00+00:00
258,20.0,2021-03-22 00:00:00+00:00
259,10.0,2021-04-07 00:00:00+00:00
260,10.0,2021-05-26 00:00:00+00:00
261,2.0,2021-11-13 00:00:00+00:00
262,30.0,2021-03-12 00:00:00+00:00
263,2.0,2021-03-12 00:00:00+00:00
264,1.0,2022-06-01 00:00:00+00:00
265,20.0,2021-01-25 00:00:00+00:00
266,0.0,2021-11-17 10:58:00+00:00
267,0.0,2022-09-17 10:18:00+00:00
268,2.0,2021-02-26 00:00:00+00:00
269,10.0,2021-04-03 00:00:00+00:00
270,0.0,2021-12-13 00:00:00+00:00
271,1.0,2021-05-28 00:00:00+00:00
272,0.0,2021-07-20 00:00:00+00:00
273,1.0,2021-09-12 00:00:00+00:00
274,1.0,2021-07-06 00:00:00+00:00
275,12.0,2021-01-02 00:00:00+00:00
276,25.0,2021-10-21 00:00:00+00:00
277,4.0,2021-02-27 00:00:00+00:00
278,11.0,2021-02-27 00:00:00+00:00
279,2.0,2021-05-19 00:00:00+00:00
280,30.0,2021-11-15 00:00:00+00:00
281,25.0,2021-12-27 00:00:00+00:00
282,2.0,2021-05-12 00:00:00+00:00
283,2.0,2021-05-16 00:00:00+00:00
284,34.0,2021-05-30 00:00:00+00:00
285,1.0,2021-09-13 00:00:00+00:00
286,2020.0,2023-03-04 00:00:00+00:00
287,3.0,2021-07-09 00:00:00+00:00
288,25.0,2021-08-31 00:00:00+00:00
289,50.0,2021-02-07 00:00:00+00:00
290,15.0,2021-02-17 00:00:00+00:00
291,4.0,2021-02-23 00:00:00+00:00
292,1.0,2022-05-08 00:00:00+00:00
293,2.0,2021-05-02 00:00:00+00:00
294,50.0,2021-10-13 00:00:00+00:00
295,100.0,2021-03-24 00:00:00+00:00
296,26.0,2021-11-21 00:00:00+00:00
297,0.0,2021-03-01 00:00:00+00:00
298,20.0,2022-11-18 00:00:00+00:00
299,1.0,2021-10-17 00:00:00+00:00
