,basisofrecord,class,countrycode,day,decimallatitude,decimallongitude,eventdate,family,gbifid,genus,individualcount,issue,kingdom,month,occurrencestatus,order,phylum,species,year
3489609,HUMAN_OBSERVATION,Aves,US,3.0,43.444817,-116.61037,2021-07-03 00:00:00 UTC,Anatidae,3531752430,Anas,2.0,CONTINENT_DERIVED_FROM_COORDINATES,Animalia,7.0,PRESENT,Anseriformes,Chordata,Anas platyrhynchos,2021
3726442,HUMAN_OBSERVATION,Aves,US,1.0,42.736847,-70.79424,2021-11-01 00:00:00 UTC,Anatidae,3626612392,Anas,2.0,CONTINENT_DERIVED_FROM_COORDINATES,Animalia,11.0,PRESENT,Anseriformes,Chordata,Anas platyrhynchos,2021
6639588,HUMAN_OBSERVATION,Aves,US,29.0,48.146366,-123.56481,2021-08-29 00:00:00 UTC,Anatidae,3570806480,Anas,5.0,CONTINENT_DERIVED_FROM_COORDINATES,Animalia,8.0,PRESENT,Anseriformes,Chordata,Anas platyrhynchos,2021
1221060,HUMAN_OBSERVATION,Aves,US,18.0,33.178833,-115.62269,2021-06-18 00:00:00 UTC,Anatidae,3674106525,Anas,1.0,CONTINENT_DERIVED_FROM_COORDINATES,Animalia,6.0,PRESENT,Anseriformes,Chordata,Anas platyrhynchos,2021
2883350,HUMAN_OBSERVATION,Aves,US,1.0,43.17569,-87.89042,2021-05-01 00:00:00 UTC,Anatidae,3554041105,Anas,1.0,CONTINENT_DERIVED_FROM_COORDINATES,Animalia,5.0,PRESENT,Anseriformes,Chordata,Anas platyrhynchos,2021
709702,HUMAN_OBSERVATION,Aves,DK,22.0,55.34628,8.67888,2021-03-22 00:00:00 UTC,Anatidae,3119157371,Anas,20.0,OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT,Animalia,3.0,PRESENT,Anseriformes,Chordata,Anas platyrhynchos,2021
5748417,HUMAN_OBSERVATION,Aves,US,7.0,34.14388,-118.051865,2021-04-07 00:00:00 UTC,Anatidae,3540284754,Anas,10.0,CONTINENT_DERIVED_FROM_COORDINATES,Animalia,4.0,PRESENT,Anseriformes,Chordata,Anas platyrhynchos,2021
4286727,HUMAN_OBSERVATION,Aves,CA,26.0,52.463097,-112.890114,2021-05-26 00:00:00 UTC,Anatidae,3552914381,Anas,10.0,CONTINENT_DERIVED_FROM_COORDINATES,Animalia,5.0,PRESENT,Anseriformes,Chordata,Anas platyrhynchos,2021
2537574,HUMAN_OBSERVATION,Aves,US,13.0,37.329,-75.9174,2021-11-13 00:00:00 UTC,Anatidae,3575038067,Anas,2.0,CONTINENT_DERIVED_FROM_COORDINATES,Animalia,11.0,PRESENT,Anseriformes,Chordata,Anas platyrhynchos,2021
6084553,HUMAN_OBSERVATION,Aves,US,12.0,39.01997,-122.66187,2021-03-12 00:00:00 UTC,Anatidae,3512101201,Anas,30.0,CONTINENT_DERIVED_FROM_COORDINATES,Animalia,3.0,PRESENT,Anseriformes,Chordata,Anas platyrhynchos,2021
28463,HUMAN_OBSERVATION,Aves,US,12.0,43.12942,-93.23303,2021-03-12 00:00:00 UTC,Anatidae,3625253623,Anas,2.0,CONTINENT_DERIVED_FROM_COORDINATES,Animalia,3.0,PRESENT,Anseriformes,Chordata,Anas platyrhynchos,2021
3649945,HUMAN_OBSERVATION,Aves,NL,1.0,51.55,3.7,2022-06-01 00:00:00 UTC,Anatidae,3904080625,Anas,1.0,OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT,Animalia,6.0,PRESENT,Anseriformes,Chordata,Anas platyrhynchos,2022
3164851,HUMAN_OBSERVATION,Aves,US,25.0,42.937332,-73.65675,2021-01-25 00:00:00 UTC,Anatidae,3605197379,Anas,20.0,CONTINENT_DERIVED_FROM_COORDINATES,Animalia,1.0,PRESENT,Anseriformes,Chordata,Anas platyrhynchos,2021
